index,state,year,population
245,KS,2007,77.4553137880845
246,KS,2008,78.02931787326166
247,KS,2009,78.58224782592742
248,KS,2010,79.00445210924791
249,KS,2011,79.38642840543548
250,KS,2012,79.7129368020646
251,KS,2013,79.9788280189337
252,KS,2014,80.36515857581428
253,KS,2015,80.67636590467104
254,KS,2016,80.86500568744725
255,KY,2000,72.66912323355113
256,KY,2001,74.17988654206555
257,KY,2002,74.25409005723547
258,KY,2003,74.31074304816897
259,KY,2004,74.50739502608519
260,KY,2005,74.80208175049384
261,KY,2006,75.07607759712303
262,KY,2007,75.53674720153978
263,KY,2008,75.9563389555792
264,KY,2009,76.40009117155448
265,KY,2010,76.80874233905688
266,KY,2011,77.26330851441017
267,KY,2012,77.66732512789343
268,KY,2013,77.92240287696906
269,KY,2014,78.35523983183913
270,KY,2015,78.77837714633034
271,KY,2016,79.07969913387024
272,LA,2000,61.43070086103138
273,LA,2001,62.34795389315804
274,LA,2002,62.544255161559114
275,LA,2003,62.80749467641885
276,LA,2004,63.026664197759466
277,LA,2005,63.289811128599204
278,LA,2006,63.54270437922415
279,LA,2007,63.950814739375986
280,LA,2008,64.43350152763632
281,LA,2009,64.99574113508008
282,LA,2010,65.56578094620869
283,LA,2011,66.15743912600685
284,LA,2012,66.42155818905657
285,LA,2013,66.799925932784
286,LA,2014,66.99162114619017
287,LA,2015,67.16648921396167
288,LA,2016,67.37147023423758
289,ME,2000,128.4189281198327
290,ME,2001,131.27844243426387
291,ME,2002,131.8980643906235
292,ME,2003,132.60302175534156
293,ME,2004,133.48798754984924
294,ME,2005,134.4259961741724
295,ME,2006,135.6139804817949
296,ME,2007,136.79729598288105
297,ME,2008,138.01095872645334
298,ME,2009,139.0875725448238
299,ME,2010,139.96932853483773
300,ME,2011,140.98706351522225
301,ME,2012,141.71179846318452
302,ME,2013,142.26453328145772
303,ME,2014,142.8818856790844
304,ME,2015,143.20889667023312
305,ME,2016,143.6023084654541
306,MD,2000,450.4002266405687
307,MD,2001,460.68661790460493
308,MD,2002,461.3036983620068
309,MD,2003,463.3014319563202
310,MD,2004,465.750695374472
311,MD,2005,468.96445863809623
312,MD,2006,471.4770783970331
313,MD,2007,443.2538374369012
314,MD,2008,450.7655300298753
315,MD,2009,456.9471515401257
316,MD,2010,462.7225713402699
317,MD,2011,468.18120943648915
318,MD,2012,471.43751931595756
319,MD,2013,474.0977644998455
320,MD,2014,476.56742556917686
321,MD,2015,478.6172864942825
322,MD,2016,480.7868548470176
323,MA,2000,160.64615384615385
324,MA,2001,163.72717948717948
325,MA,2002,164.8323076923077
326,MA,2003,166.14871794871794
327,MA,2004,167.50166666666667
328,MA,2005,168.42153846153846
329,MA,2006,169.0752564102564
330,MA,2007,169.69474358974358
331,MA,2008,170.13333333333333
332,MA,2009,170.57807692307694
333,MA,2010,170.46025641025642
334,MA,2011,170.21166666666667
335,MA,2012,170.3170512820513
336,MA,2013,170.26846153846154
337,MA,2014,170.32602564102564
338,MA,2015,170.66884615384615
339,MA,2016,170.3971794871795
340,MI,2000,91.47020640619749
341,MI,2001,93.9357611560162
342,MI,2002,95.06165655565185
343,MI,2003,96.22365093121562
344,MI,2004,97.21199525990909
345,MI,2005,98.10812005872053
346,MI,2006,98.91188383239887
347,MI,2007,99.53071331293444
348,MI,2008,99.99129804205947
349,MI,2009,100.54944374679425
350,MI,2010,101.35283609543855
351,MI,2011,102.38568068059216
352,MI,2012,103.29579582235272
353,MI,2013,104.14713737420188
354,MI,2014,104.79840464104423
355,MI,2015,105.41509400590742
356,MI,2016,105.91853410919896
357,MN,2000,77.55119494643776
358,MN,2001,79.88626973262838
359,MN,2002,80.34503371971819
360,MN,2003,80.5908297436799
361,MN,2004,80.65813103595514
362,MN,2005,80.52897886395318
363,MN,2006,80.41606490260841
364,MN,2007,80.50138772024565
365,MN,2008,80.77108267296269
366,MN,2009,81.2408730706921
367,MN,2010,81.85179650118678
368,MN,2011,82.46499303000239
369,MN,2012,83.06501563540006
370,MN,2013,83.69358383462895
371,MN,2014,84.3326761023271
372,MN,2015,84.95691160033657
373,MN,2016,85.36657164027277
374,MS,2000,210.21194297039833
375,MS,2001,212.10174115039533
376,MS,2002,212.9258572555037
377,MS,2003,213.44990729493
378,MS,2004,213.99211474117172
379,MS,2005,214.29394966221255
380,MS,2006,214.2049101719839
381,MS,2007,213.8840440722034
382,MS,2008,213.14246744666795
383,MS,2009,211.98322784135712
384,MS,2010,211.01785904567058
385,MS,2011,210.50651066641092
386,MS,2012,210.62278626686273
387,MS,2013,210.94748843850564
388,MS,2014,211.29940540886133
389,MS,2015,211.66662404364598
390,MS,2016,211.7188372439955
391,MO,2000,69.4700183294056
392,MO,2001,71.77114427860697
393,MO,2002,72.48546739984289
394,MO,2003,73.0111867562771
395,MO,2004,73.51505629746006
396,MO,2005,74.01171045358005
397,MO,2006,74.47554624538128
398,MO,2007,75.1149951994414
399,MO,2008,75.74994908498444
400,MO,2009,76.32914375490967
401,MO,2010,76.82643798551103
402,MO,2011,77.25893922201857
403,MO,2012,77.77806872072387
404,MO,2013,78.22728462948416
405,MO,2014,78.76875854644904
406,MO,2015,79.3207209566204
407,MO,2016,79.77658491169882
408,MT,2000,19.022295356794416
409,MT,2001,19.570122160691465
410,MT,2002,19.60200898684952
411,MT,2003,19.64108254435024
412,MT,2004,19.707254064007255
413,MT,2005,19.84946339988732
414,MT,2006,19.965804625341818
415,MT,2007,19.959174419084
416,MT,2008,20.119755953444272
417,MT,2009,20.253431904689926
418,MT,2010,20.328789523587044
419,MT,2011,20.410145246176466
420,MT,2012,20.46876588844764
421,MT,2013,20.50622483613428
422,MT,2014,20.54222719964822
423,MT,2015,20.556332705811222
424,MT,2016,20.54492050623171
425,NE,2000,71.18007393522858
426,NE,2001,72.98871446422993
427,NE,2002,73.42942309694887
428,NE,2003,73.86786681245444
429,NE,2004,74.31796053316671
430,NE,2005,74.81699729251275
431,NE,2006,75.37097781943143
432,NE,2007,76.05310840362387
433,NE,2008,76.63766531292305
434,NE,2009,77.11022597105071
435,NE,2010,77.59408518171405
436,NE,2011,78.04968499427262
437,NE,2012,78.24614703738415
438,NE,2013,78.43938092262835
439,NE,2014,78.66017130063521
440,NE,2015,78.87027491408935
441,NE,2016,79.08220087472665
442,NV,2000,8.041273080041172
443,NV,2001,8.232508357548209
444,NV,2002,8.261547991000263
445,NV,2003,8.304415153806215
446,NV,2004,8.37695047412576
447,NV,2005,8.4714932456436
448,NV,2006,8.563430830471574
449,NV,2007,8.678113699091828
450,NV,2008,8.787549758154872
451,NV,2009,8.894207558685018
452,NV,2010,8.963135697433982
453,NV,2011,9.02460352884379
454,NV,2012,9.086435722028401
455,NV,2013,9.147010867089934
456,NV,2014,9.238010220347784
457,NV,2015,9.315427988449732
458,NV,2016,9.395933722593163
459,NH,2000,186.08600469116496
460,NH,2001,191.424103652407
461,NH,2002,192.0960571875349
462,NH,2003,193.04054506869207
463,NH,2004,194.19669384563832
464,NH,2005,195.3948397185301
465,NH,2006,196.74935775717637
466,NH,2007,197.9998883055959
467,NH,2008,199.20026806656986
468,NH,2009,200.6453702669496
469,NH,2010,202.46654752596896
470,NH,2011,204.3550765106668
471,NH,2012,205.61979224840834
472,NH,2013,207.04691164972635
473,NH,2014,208.40087121635207
474,NH,2015,209.9804534792807
475,NH,2016,211.3324025466324
476,NJ,2000,246.0229806907805
477,NJ,2001,274.50924666847976
478,NJ,2002,285.3411748708186
479,NJ,2003,295.59301060647266
480,NJ,2004,305.7995648626598
481,NJ,2005,319.04025020397063
482,NJ,2006,330.7238237693772
483,NJ,2007,343.03209137884147
484,NJ,2008,353.6948599401686
485,NJ,2009,360.8417187924939
486,NJ,2010,365.06187109056293
487,NJ,2011,367.4847701930922
488,NJ,2012,368.9303780255643
489,NJ,2013,373.22137612183843
490,NJ,2014,377.611639923851
491,NJ,2015,383.31996192548274
492,NJ,2016,390.0640467772641
493,NM,2000,9.902339692327986
494,NM,2001,10.221784365776847
495,NM,2002,10.350681791950404
496,NM,2003,10.462571518079441
497,NM,2004,10.551204471631848
498,NM,2005,10.635962670447988
499,NM,2006,10.704974525548648
500,NM,2007,10.786566967303665
501,NM,2008,10.820788471368036
502,NM,2009,10.848538310606935
503,NM,2010,10.85015416577355
504,NM,2011,10.855966297877954
505,NM,2012,10.885950304209468
506,NM,2013,10.920847829312931
507,NM,2014,10.942241421952547
508,NM,2015,10.99982687266072
509,NM,2016,11.026397797160712
510,NY,2000,172.80083181258752
511,NY,2001,178.89532317616602
512,NY,2002,180.21200611127614
513,NY,2003,181.48459449136357
514,NY,2004,182.5192462759411
515,NY,2005,183.22287060221535
516,NY,2006,183.59236939269192
517,NY,2007,183.79830666723254
518,NY,2008,184.14219326910836
519,NY,2009,184.8467937019904
520,NY,2010,185.79132538301573
521,NY,2011,186.7217883970632
522,NY,2012,187.33930314476086
523,NY,2013,187.70256334083098
524,NY,2014,187.96038280354793
525,NY,2015,188.161036370581
526,NY,2016,188.22543818698807
527,NC,2000,35.78600518326546
528,NC,2001,37.45945945945946
529,NC,2002,37.67514089431898
530,NC,2003,38.16094861985273
531,NC,2004,38.61890657781069
532,NC,2005,39.15850096672015
533,NC,2006,39.744004278250856
534,NC,2007,40.358241803447285
535,NC,2008,40.932782097165656
536,NC,2009,41.3563289316714
537,NC,2010,41.89398988029125
538,NC,2011,42.4660413838496
539,NC,2012,42.797050475132664
540,NC,2013,42.941194619276814
541,NC,2014,43.04646427249167
542,NC,2015,42.99304784236291
543,NC,2016,42.989654037599244
544,ND,2000,263.7150331154621
545,ND,2001,275.38412486775553
546,ND,2002,276.55886146577586
547,ND,2003,277.35540064636746
548,ND,2004,277.9081317662063
549,ND,2005,277.84477036564687
550,ND,2006,277.2801843451544
551,ND,2007,276.87469746815265
552,ND,2008,277.2761988956682
553,ND,2009,278.43706612947636
554,ND,2010,279.8084955290503
555,ND,2011,281.154707902784
556,ND,2012,282.60345502239096
557,ND,2013,283.6822944595006
558,ND,2014,284.4377327864814
559,ND,2015,284.8282053883277
560,ND,2016,284.88458138287854
561,OH,2000,187.23939698000538
562,OH,2001,197.7830694305083
563,OH,2002,200.9280732238565
564,OH,2003,203.7688994395634
565,OH,2004,206.1256699542351
566,OH,2005,209.32311984532927
567,OH,2006,213.04928905313136
568,OH,2007,218.23425760505128
569,OH,2008,223.1476713736815
570,OH,2009,227.83213822471305
571,OH,2010,231.2612515601674
572,OH,2011,234.32089278284917
573,OH,2012,236.38464550549423
574,OH,2013,238.65813367269524
575,OH,2014,240.9808130001713
576,OH,2015,243.19754778395045
577,OH,2016,245.64298475318765
578,OK,2000,9.237787010715067
579,OK,2001,9.35961804796268
580,OK,2002,9.316451636416648
581,OK,2003,9.30341861651724
582,OK,2004,9.312879947518041
583,OK,2005,9.398717107660909
584,OK,2006,9.418893505357534
585,OK,2007,9.467483052700635
586,OK,2008,9.51704934762009
587,OK,2009,9.586252642320868
588,OK,2010,9.694117647058823
589,OK,2011,9.836751949850573
590,OK,2012,9.993818791457104
591,OK,2013,10.237291347765872
592,OK,2014,10.54229900138494
593,OK,2015,10.76953130694657
594,OK,2016,11.014461695458852
595,OR,2000,117.27147143392924
596,OR,2001,118.38503771304747
597,OR,2002,118.63362086927533
598,OR,2003,118.84703296245364
599,OR,2004,119.12726590823853
600,OR,2005,119.30919489936242
601,OR,2006,119.42451139725799
602,OR,2007,119.61092011501438
603,OR,2008,119.81151810642997
604,OR,2009,119.9669854565154
605,OR,2010,120.1076801266825
606,OR,2011,120.21762095261907
607,OR,2012,120.28310830520482
608,OR,2013,120.33765679043213
609,OR,2014,120.63687127557611
610,OR,2015,120.91691669792057
611,OR,2016,121.08091636454557
612,PA,2000,75.05182933643252
613,PA,2001,77.2045906622265
614,PA,2002,77.48921619024205
615,PA,2003,77.98046621817937
616,PA,2004,78.3338622801332
617,PA,2005,78.78848087969068
618,PA,2006,79.31066312048812
619,PA,2007,80.3274255190756
620,PA,2008,81.22720872538721
621,PA,2009,82.00111749323916
622,PA,2010,83.0872315222493
623,PA,2011,84.03580448338288
624,PA,2012,84.67970408779027
625,PA,2013,85.36128556422234
626,PA,2014,86.13394273964643
627,PA,2015,86.69930491920523
628,PA,2016,87.39954853273137
629,RI,2000,3207.112185686654
630,RI,2001,3316.9323017408124
631,RI,2002,3353.904255319149
632,RI,2003,3397.8955512572534
633,RI,2004,3430.7311411992264
634,RI,2005,3452.0918762088977
635,RI,2006,3494.392649903288
636,RI,2007,3550.1769825918764
637,RI,2008,3600.016441005803
638,RI,2009,3644.8239845261123
639,RI,2010,3683.365570599613
640,RI,2011,3711.425531914894
641,RI,2012,3745.330754352031
642,RI,2013,3771.8588007736944
643,RI,2014,3795.0773694390714
644,RI,2015,3835.0551257253387
645,RI,2016,3886.404255319149
646,SC,2000,398.9892551811317
647,SC,2001,408.64152889125444
648,SC,2002,409.13376135191777
649,SC,2003,410.2002927380992
650,SC,2004,411.65157513056784
651,SC,2005,412.8512690861914
652,SC,2006,414.15754632247763
653,SC,2007,416.1807325105619
654,SC,2008,417.9480722530854
655,SC,2009,419.5564019826353
656,SC,2010,421.37181065167493
657,SC,2011,422.85373074748014
658,SC,2012,424.03951964339177
659,SC,2013,424.77372675559695
660,SC,2014,425.1201889491368
661,SC,2015,425.5477861681248
662,SC,2016,425.4628255879711
663,SD,2000,13.069594122225007
664,SD,2001,13.853767922860799
665,SD,2002,13.944440780361688
666,SD,2003,14.061218029045916
667,SD,2004,14.131748690823231
668,SD,2005,14.17444697998971
669,SD,2006,14.086557359749904
670,SD,2007,14.02297819577634
671,SD,2008,13.946722771101818
672,SD,2009,13.91622587751118
673,SD,2010,13.898326100433973
674,SD,2011,13.902916463310074
675,SD,2012,13.900739998153302
676,SD,2013,13.914774900739998
677,SD,2014,13.923573096252523
678,SD,2015,13.936117449974278
679,SD,2016,13.941063961694214
680,TN,2000,94.2339274887838
681,TN,2001,97.59240936097974
682,TN,2002,98.58118103552808
683,TN,2003,99.61913423062931
684,TN,2004,100.64986055535346
685,TN,2005,102.12006790348005
686,TN,2006,103.55644476779435
687,TN,2007,105.68320601430824
688,TN,2008,107.77519097853765
689,TN,2009,109.83378198132654
690,TN,2010,111.31010064265794
691,TN,2011,112.42502728264823
692,TN,2012,113.31769128167818
693,TN,2013,114.44226991633322
694,TN,2014,115.59279738086578
695,TN,2015,117.05730568691645
696,TN,2016,118.73423062931975
697,TX,2000,2.8064440803576898
698,TX,2001,2.893382127763827
699,TX,2002,2.9015281435658724
700,TX,2003,2.9093679181723524
701,TX,2004,2.923566025601764
702,TX,2005,2.9490874012372146
703,TX,2006,2.9685987934096896
704,TX,2007,2.9974620260917497
705,TX,2008,3.030344674465609
706,TX,2009,3.0590586145648313
707,TX,2010,3.0894645372695533
708,TX,2011,3.1243990016537024
709,TX,2012,3.1532890304403747
710,TX,2013,3.192024713664482
711,TX,2014,3.2260634225516016
712,TX,2015,3.252549457953084
713,TX,2016,3.2716627365713236
714,UT,2000,66.73402701715955
715,UT,2001,69.41364244858221
716,UT,2002,69.98647925033467
717,UT,2003,70.5356942923208
718,UT,2004,71.167238651576
719,UT,2005,71.93390531824267
720,UT,2006,72.9105147864184
721,UT,2007,74.09962273335768
722,UT,2008,75.15792868443471
723,UT,2009,76.03031520019472
724,UT,2010,76.7435682122429
725,UT,2011,77.34596568090544
726,UT,2012,77.89093343069247
727,UT,2013,78.56580260435682
728,UT,2014,79.06709261287574
729,UT,2015,79.64728002920774
730,UT,2016,80.26474382377997
731,VT,2000,2174.6925246826518
732,VT,2001,2272.377020722578
733,VT,2002,2313.076055115547
734,VT,2003,2353.295540848432
735,VT,2004,2390.2496473906913
736,VT,2005,2429.6433763697514
737,VT,2006,2471.3163719214494
738,VT,2007,2534.401649126614
739,VT,2008,2585.6550938483238
740,VT,2009,2637.413366605186
741,VT,2010,2690.87132472605
742,VT,2011,2738.62395573397
743,VT,2012,2782.413366605186
744,VT,2013,2830.00108495172
745,VT,2014,2872.913746338288
746,VT,2015,2925.3653032440056
747,VT,2016,2980.202994466746
748,VA,2000,53.933552798176756
749,VA,2001,56.83722461382629
750,VA,2002,57.83021017979235
