index,state,year,no2
340,ME,2016,9.803727604641054
341,MI,2000,23.916800642642713
342,MI,2001,21.973532553232108
343,MI,2002,20.00227987224959
344,MI,2003,21.983276367462754
345,MI,2004,17.675493626209274
346,MI,2005,19.428481340381012
347,MI,2006,17.230801468880745
348,MI,2007,15.235310445073798
349,MI,2008,15.164017039094869
350,MI,2009,15.28375543542277
351,MI,2010,14.44397561936691
352,MI,2011,14.906790215285888
353,MI,2012,15.238835726425966
354,MI,2013,14.562283467152287
355,MI,2014,14.213599054214862
356,MI,2015,14.853383268056376
357,MI,2016,14.798096937258137
358,MN,2000,19.991320639035266
359,MN,2001,18.190836278383223
360,MN,2002,14.730602149746652
361,MN,2003,15.00037332130643
362,MN,2004,10.874511338717626
363,MN,2005,12.214111643332995
364,MN,2006,12.755764305586764
365,MN,2007,10.920138371292934
366,MN,2008,12.21995956990206
367,MN,2009,11.070230949147234
368,MN,2010,11.34259459491678
369,MN,2011,12.20268450182636
370,MN,2012,11.715580605559397
371,MN,2013,13.805123306450861
372,MN,2014,13.643319905594971
373,MN,2015,12.164051269316845
374,MN,2016,10.87228202808132
375,MO,2000,17.58505208980823
376,MO,2001,16.00508949827064
377,MO,2002,15.195878978856982
378,MO,2003,16.070481077238018
379,MO,2004,14.119016983654646
380,MO,2005,15.372308638714031
381,MO,2006,14.347534574358553
382,MO,2007,10.99918645790488
383,MO,2008,12.03277168713263
384,MO,2009,11.261915944476188
385,MO,2010,12.318297524905937
386,MO,2011,11.534691561520749
387,MO,2012,14.485504780977168
388,MO,2013,12.065193313913289
389,MO,2014,13.283976001472475
390,MO,2015,11.11143797498616
391,MO,2016,9.483214113610066
392,MS,2000,16.47905816972334
393,MS,2001,14.005928001672643
394,MS,2002,11.593000826293753
395,MS,2003,11.570890519167104
396,MS,2004,11.516741581508082
397,MS,2005,11.343886729054542
398,MS,2006,10.18683571934583
399,MS,2007,8.950465579904181
400,MS,2008,10.474441039832877
401,MS,2009,8.690899982698888
402,MS,2010,9.99597954573926
403,MS,2011,11.636853955520342
404,MS,2012,10.991541103501048
405,MS,2013,8.024133659860874
406,MS,2014,8.858821988054764
407,MS,2015,9.925001172960599
408,MS,2016,8.4373299294836
409,MT,2000,15.183870704204235
410,MT,2001,12.89868329458951
411,MT,2002,11.046780340199936
412,MT,2003,11.260963236673913
413,MT,2004,8.899934760709256
414,MT,2005,8.55526838127904
415,MT,2006,8.032851947796859
416,MT,2007,6.2520456573557395
417,MT,2008,9.038066304259967
418,MT,2009,7.562334747394322
419,MT,2010,6.318256717909703
420,MT,2011,6.137743881816319
421,MT,2012,6.85134675796108
422,MT,2013,5.479493136573951
423,MT,2014,6.553349799032599
424,MT,2015,7.130759236889737
425,MT,2016,6.138471776048828
426,NC,2000,22.52299211165528
427,NC,2001,20.2056995677634
428,NC,2002,18.371206282010505
429,NC,2003,17.81481458295163
430,NC,2004,17.29900084658453
431,NC,2005,16.0971606817752
432,NC,2006,14.150808815912566
433,NC,2007,13.572976597624141
434,NC,2008,13.895882689119533
435,NC,2009,11.839666762686226
436,NC,2010,12.6918680609308
437,NC,2011,14.41286809917193
438,NC,2012,13.891776039604686
439,NC,2013,11.855730712091113
440,NC,2014,10.769492697508865
441,NC,2015,11.361947287332953
442,NC,2016,10.497891262958978
443,ND,2000,7.639508206552053
444,ND,2001,8.49808868788381
445,ND,2002,5.8170593706570495
446,ND,2003,7.5597301072737535
447,ND,2004,6.414046515726191
448,ND,2005,6.649211132059151
449,ND,2006,9.177345411838983
450,ND,2007,7.012212593882891
451,ND,2008,8.465668637458041
452,ND,2009,7.695797101763171
453,ND,2010,7.584716642660176
454,ND,2011,7.120957938607982
455,ND,2012,7.9611359306930085
456,ND,2013,7.482359122882848
457,ND,2014,8.16528340331159
458,ND,2015,7.56059284436243
459,ND,2016,7.328794150791526
460,NE,2000,14.70327071967839
461,NE,2001,16.101733709219193
462,NE,2002,15.233140507422766
463,NE,2003,17.84131470031374
464,NE,2004,15.002086783703003
465,NE,2005,15.3344776024972
466,NE,2006,15.187062587620444
467,NE,2007,10.939882467950786
468,NE,2008,11.879823550174946
469,NE,2009,9.979167603646374
470,NE,2010,11.540171770158075
471,NE,2011,9.34597311309541
472,NE,2012,11.928891707544205
473,NE,2013,12.223070144668647
474,NE,2014,12.729757633254879
475,NE,2015,10.608172749216486
476,NE,2016,9.19087295049156
477,NH,2000,14.526093167565477
478,NH,2001,16.244716113889265
479,NH,2002,18.231887262061772
480,NH,2003,16.039429489515605
481,NH,2004,12.001954476648578
482,NH,2005,8.947931838943273
