STATE,YEAR,ozone
UT,2001,46.24308178639307
UT,2002,46.68513666438634
UT,2003,46.7558385805636
UT,2004,45.377870958740104
UT,2005,45.777343103117445
UT,2006,45.59969195393566
UT,2007,45.247902002849905
UT,2008,44.52887112940928
UT,2009,43.8142903152935
UT,2010,44.385775286023964
UT,2011,44.88254563570394
UT,2012,45.832221413728746
UT,2013,44.97468414872285
UT,2014,44.23003841660801
UT,2015,45.29295703457188
UT,2016,45.486044167392265
VA,2000,40.748333347005214
VA,2001,42.25568199457977
VA,2002,43.012322773573096
VA,2003,39.54983053585878
VA,2004,39.07406954568831
VA,2005,40.641898304901794
VA,2006,41.04340386258499
VA,2007,42.30221561963437
VA,2008,40.56905209506302
VA,2009,38.592206712953455
VA,2010,42.53687140888383
VA,2011,41.465395156278845
VA,2012,40.40999417959071
VA,2013,39.42631161698762
VA,2014,40.25243234126718
VA,2015,40.24634700293975
VA,2016,40.01527408612988
VT,2000,35.3302715329686
VT,2001,38.126378119905475
VT,2002,38.39566564996615
VT,2003,38.31467643312787
VT,2004,36.71095321421857
VT,2005,37.73178900896673
VT,2006,35.91325509057612
VT,2007,37.156320514618834
VT,2008,36.59938014154287
VT,2009,35.98974351483
VT,2010,38.364781819408954
VT,2011,38.05570422911155
VT,2012,38.542582989586606
VT,2013,39.43586171814617
VT,2014,39.082667867334344
VT,2015,39.025432364556785
VT,2016,37.745277231357235
WA,2000,36.12531185310074
WA,2001,36.86556356295169
WA,2002,36.654807610994396
WA,2003,38.04744039337057
WA,2004,35.828277659779566
WA,2005,35.9654050710767
WA,2006,37.768788145199075
WA,2007,35.91267895333585
WA,2008,35.79784002782224
WA,2009,36.086921182549645
WA,2010,35.4190036708473
WA,2011,35.79303381415496
WA,2012,37.09358694035594
WA,2013,35.63559369070888
WA,2014,37.0972284508247
WA,2015,38.660070209476025
WA,2016,37.878226752547874
WI,2000,36.140346443550776
WI,2001,37.43561152377229
WI,2002,37.297841016618804
WI,2003,38.08961808270616
WI,2004,35.40873708928616
WI,2005,38.43569279945332
WI,2006,36.74802762988778
WI,2007,37.75338856543756
WI,2008,36.953212204269654
WI,2009,35.57730862669932
WI,2010,37.828170888377656
WI,2011,37.355899852355286
WI,2012,38.258257150294064
WI,2013,37.68280298014707
WI,2014,36.87384231120112
WI,2015,38.17702057551003
WI,2016,37.39515421818078
WV,2000,42.154761187409065
WV,2001,43.0706518154189
WV,2002,42.416861178113585
WV,2003,39.85537124887995
WV,2004,38.785713009888774
WV,2005,40.79037212192116
WV,2006,40.6414673531317
WV,2007,42.76940757631099
WV,2008,40.56917863073828
WV,2009,38.33353195543717
WV,2010,41.90447928946975
WV,2011,40.861402869530984
WV,2012,40.625534240363045
WV,2013,38.572292304076896
WV,2014,39.577620749574905
WV,2015,39.85931031822426
WV,2016,39.6630352083722
WY,2000,44.12019044481382
WY,2001,44.400740106548035
WY,2002,44.8970102663863
WY,2003,45.32106267989493
WY,2004,43.492074697626
WY,2005,43.97557950414101
WY,2006,45.253234734699426
WY,2007,44.655766881272136
WY,2008,44.88552131241321
WY,2009,43.61507256652833
WY,2010,43.90402953469758
WY,2011,44.70468899852568
WY,2012,44.95719961222547
WY,2013,44.123881305494486
WY,2014,43.3379310943166
WY,2015,44.39894415359714
WY,2016,43.73005266829423
