STATE,YEAR,no2
NJ,2015,24.603614977963602
NJ,2016,22.521378805616006
NM,2000,20.63958108388418
NM,2001,20.24995802093314
NM,2002,25.98272816607626
NM,2003,21.908506962310707
NM,2004,20.306343654259315
NM,2005,20.383356185908156
NM,2006,20.601174822285397
NM,2007,15.750399115775133
NM,2008,16.227137261533553
NM,2009,13.405321321716395
NM,2010,13.760171309468424
NM,2011,11.038901745719661
NM,2012,13.1025479204656
NM,2013,12.326667912625878
NM,2014,13.114913939065183
NM,2015,12.88265276000262
NM,2016,11.17789575885176
NV,2000,26.26544521376295
NV,2001,28.197288439913844
NV,2002,28.05038890746191
NV,2003,25.698749720292266
NV,2004,25.405746490135034
NV,2005,27.59403361288805
NV,2006,27.16155258984741
NV,2007,23.478519029799415
NV,2008,28.08105488992575
NV,2009,23.63264627975719
NV,2010,19.339670254922463
NV,2011,20.386279271671086
NV,2012,20.784916762470168
NV,2013,19.096788070065433
NV,2014,20.61506374996295
NV,2015,22.24020233086426
NV,2016,18.60899427234347
NY,2000,27.039458079795686
NY,2001,26.289336681733875
NY,2002,23.725848360177785
NY,2003,25.114331902647166
NY,2004,21.93274420173754
NY,2005,21.143521886071145
NY,2006,19.751758523219237
NY,2007,18.82059149166753
NY,2008,19.172532640677257
NY,2009,18.723672139294706
NY,2010,19.712245239127757
NY,2011,20.060349881854545
NY,2012,18.591854175804862
NY,2013,20.82848620701523
NY,2014,17.239430957938904
NY,2015,18.256291437731598
NY,2016,15.579487062362453
OH,2000,25.712287343102997
OH,2001,25.24705146045947
OH,2002,23.8691468638774
OH,2003,24.611857418381383
OH,2004,21.489370452542474
OH,2005,23.833665318419975
OH,2006,20.542090110836092
OH,2007,18.190477864205086
OH,2008,17.545246804953084
OH,2009,15.933292869491337
OH,2010,17.377243826831936
OH,2011,16.28711717432467
OH,2012,17.80823450180864
OH,2013,16.29463384450757
OH,2014,17.19323659103537
OH,2015,17.143927964862666
OH,2016,15.355032527769836
OK,2000,16.37970597686863
OK,2001,17.45263246755334
OK,2002,15.570403026351014
OK,2003,15.859754320595345
OK,2004,15.38428168802593
OK,2005,18.19757400605938
OK,2006,15.73376958340277
OK,2007,12.990493562061403
OK,2008,11.823020351869305
OK,2009,12.072453885978044
OK,2010,12.302499595268246
OK,2011,13.680167268411962
OK,2012,13.00102779690341
OK,2013,12.192043514946722
OK,2014,10.698421007415543
OK,2015,12.054194515385467
OK,2016,9.838778747676155
OR,2000,22.127374275968595
OR,2001,20.008927697638054
OR,2002,18.612643516983002
OR,2003,16.070574446193618
OR,2004,14.038526715483727
OR,2005,12.487204972153018
OR,2006,9.909735708579364
OR,2007,9.930755988271224
OR,2008,14.427052690862348
OR,2009,13.614708714353963
OR,2010,11.912014448308575
OR,2011,9.910878900830633
OR,2012,10.14671100723323
OR,2013,9.67836643944287
OR,2014,11.657804987275918
OR,2015,12.662910373270336
OR,2016,10.22149070209012
PA,2000,23.84819522496234
PA,2001,23.308349537376483
PA,2002,22.28563847761403
PA,2003,22.38872742918203
PA,2004,20.762683971380635
PA,2005,21.339636143026283
PA,2006,19.23430271146425
PA,2007,18.26817349972571
PA,2008,17.389485535519086
PA,2009,15.700515147925381
PA,2010,15.731577932537444
PA,2011,18.193990425534135
PA,2012,17.29574899612786
PA,2013,14.870647627220858
PA,2014,15.372157059201838
PA,2015,15.684348674295629
PA,2016,14.548666186385478
RI,2000,24.34422127326468
RI,2001,24.771068639412977
RI,2002,23.306034595979977
RI,2003,24.8928675274905
RI,2004,21.931671680106582
RI,2005,21.625995451570745
RI,2006,20.6226750245727
RI,2007,18.008914089572365
RI,2008,17.46564079529399
RI,2009,15.717658285049517
RI,2010,14.516673472874926
RI,2011,18.013610748448148
RI,2012,14.908086963519748
RI,2013,13.891703475951026
RI,2014,16.486309423003547
RI,2015,19.636069794751247
RI,2016,15.706831711298175
SC,2000,18.40131352997908
SC,2001,16.277924446232735
SC,2002,15.48569786938752
SC,2003,13.980878442215936
SC,2004,14.569981493310323
SC,2005,13.530723678517392
SC,2006,12.238672915035469
SC,2007,11.379824439013083
SC,2008,12.312345010369821
SC,2009,10.542306205033679
SC,2010,12.311389483008373
SC,2011,14.068932806433777
SC,2012,12.14957095557876
SC,2013,10.35325774580084
SC,2014,9.907881020164838
SC,2015,11.629752714483379
SC,2016,9.914055032668983
SD,2000,12.428870672788275
SD,2001,12.111800854466335
SD,2002,8.627030138235186
SD,2003,11.588230900130924
SD,2004,9.309911373570058
SD,2005,8.017753558462216
SD,2006,8.72233034068271
SD,2007,6.352865164887037
SD,2008,8.780217856081597
SD,2009,6.9219892492286395
SD,2010,7.922073466280443
SD,2011,7.360146293446167
SD,2012,8.251580589839532
SD,2013,8.54080907489025
SD,2014,8.821061408221595
SD,2015,8.065561148383537
SD,2016,7.474338180620529
TN,2000,18.915638114861007
TN,2001,17.89611577133725
TN,2002,15.898548300241147
TN,2003,14.404941910445421
TN,2004,13.22986427891688
TN,2005,13.394716718933752
TN,2006,12.856304609666708
TN,2007,12.32231808450916
TN,2008,12.155581609872348
TN,2009,9.228824735567816
TN,2010,10.838172010222067
TN,2011,12.403102978927762
TN,2012,13.331705376409655
TN,2013,10.720062323648193
TN,2014,11.771379104568528
TN,2015,10.014092873406657
TN,2016,8.818173714501011
TX,2000,20.771329572809396
TX,2001,21.02693474632716
TX,2002,17.819140861526865
TX,2003,18.01310822079743
TX,2004,18.199288935400574
TX,2005,18.843790074669847
TX,2006,16.96237306870915
TX,2007,15.07721635305979
TX,2008,15.748836951019472
TX,2009,14.071915254802468
TX,2010,14.218275242522438
TX,2011,13.60455614735157
TX,2012,13.878859453532385
TX,2013,13.185241644310155
TX,2014,13.446636538227613
TX,2015,12.881459524076378
TX,2016,12.357846943567596
UT,2000,28.635831555271434
UT,2001,31.504340635945134
UT,2002,34.155754924994
UT,2003,30.240144587709914
UT,2004,30.302662624188635
UT,2005,28.26530112101271
UT,2006,24.2869939751622
UT,2007,22.269589100803408
UT,2008,22.34248525771784
UT,2009,20.18123867258599
UT,2010,15.877792685857003
UT,2011,16.78533282864877
UT,2012,18.406211815544182
UT,2013,18.362332077140895
UT,2014,16.318023496307546
UT,2015,17.535987676330265
UT,2016,13.827989479512219
VA,2000,21.80310516218562
VA,2001,22.16695365965302
VA,2002,21.206440487578835
VA,2003,20.989212304848976
VA,2004,20.202059648035164
VA,2005,18.75690479538861
VA,2006,16.418762914909703
VA,2007,14.795571494573522
VA,2008,14.621314549885447
VA,2009,13.271187292096721
VA,2010,13.396197954031154
VA,2011,14.458960882225847
VA,2012,14.894066900665193
VA,2013,12.30030565421247
VA,2014,12.544179004742288
VA,2015,12.297232339654732
VA,2016,11.457694620400096
VT,2000,15.606713217876838
VT,2001,14.771688198525633
VT,2002,16.00338485097578
VT,2003,15.708900557293804
VT,2004,11.201582397573087
