State,Year,Population
OH,2014,9846717
OK,2014,723149
OR,2014,11579692
PA,2014,3853891
RI,2014,3924110
SC,2014,12779538
SD,2014,1055560
TN,2014,4766469
TX,2014,842751
UT,2014,6496943
VT,2014,26479646
VA,2014,2898773
WA,2014,626603
WV,2014,8255861
WI,2014,6966252
WY,2014,1854768
AK,2015,4843737
AZ,2015,737075
AR,2015,6732873
CA,2015,2968759
CO,2015,38586706
CT,2015,5352637
DE,2015,3595697
FL,2015,933131
GA,2015,663603
HI,2015,19853880
ID,2015,10071204
IL,2015,1415335
IN,2015,1632248
IA,2015,12885092
KS,2015,6596019
KY,2015,3110643
LA,2015,2901861
ME,2015,4416992
MD,2015,4645938
MA,2015,1331217
MI,2015,5960064
MN,2015,6764864
MS,2015,9932033
MO,2015,5452665
MT,2015,2991892
NE,2015,6059130
NV,2015,1022657
NH,2015,1879955
NJ,2015,2818935
NM,2015,1334257
NY,2015,8867277
NC,2015,2090236
ND,2015,19653431
OH,2015,9937295
OK,2015,738736
OR,2015,11606573
PA,2015,3879187
RI,2015,3965447
SC,2015,12792392
SD,2015,1056511
TN,2015,4826858
TX,2015,849670
UT,2015,6544617
VT,2015,26963092
VA,2015,2938327
WA,2015,625693
WV,2015,8315430
WI,2015,7057531
WY,2015,1850569
AK,2016,4854803
AZ,2016,738430
AR,2016,6832810
CA,2016,2979732
CO,2016,38904296
CT,2016,5454328
DE,2016,3588561
FL,2016,942065
GA,2016,677014
HI,2016,20219111
ID,2016,10183353
IL,2016,1422999
IN,2016,1652495
IA,2016,12859585
KS,2016,6611442
KY,2016,3122541
LA,2016,2910717
ME,2016,4429126
MD,2016,4666998
MA,2016,1329098
MI,2016,5988528
MN,2016,6797484
MS,2016,9934483
MO,2016,5484002
MT,2016,2990231
NE,2016,6075411
NV,2016,1031495
NH,2016,1892059
NJ,2016,2868531
NM,2016,1337480
NY,2016,8870312
NC,2016,2090071
ND,2016,19657321
OH,2016,10037218
OK,2016,755537
OR,2016,11622315
PA,2016,3910518
RI,2016,4018542
SC,2016,12789838
SD,2016,1056886
TN,2016,4896006
TX,2016,854663
UT,2016,6595354
VT,2016,27468531
VA,2016,2983626
WA,2016,625810
WV,2016,8367303
WI,2016,7167287
WY,2016,1843332
