,State,Year,Petroleum
1982,AZ,2006,39.95442255656852
1983,AR,2006,24.97531119841003
1984,CA,2006,266.8794207793399
1985,CO,2006,34.62481006714036
1986,CT,2006,27.26080498818023
1987,DE,2006,8.48996832446751
1988,DC,2006,1.610418852879557
1989,FL,2006,144.1343647179301
1990,GA,2006,75.05810509068282
1991,,2006,21.54587034082172
1992,ID,2006,10.90885388396442
1993,IL,2006,89.10307566044753
1994,IN,2006,59.64088630195507
1995,IA,2006,27.21641604423139
1996,KS,2006,24.06195547847032
1997,KY,2006,49.87110526727878
1998,LA,2006,115.2169379381783
1999,ME,2006,17.05058082863444
2000,MD,2006,37.2096559725785
2001,MA,2006,45.90031017235927
2002,MI,2006,62.67382563130174
2003,MN,2006,44.95080021056876
2004,MS,2006,31.52247594409532
2005,MO,2006,50.43937320949556
2006,MT,2006,13.55133674777392
2007,NE,2006,15.72740087626314
2008,NV,2006,20.01807859775042
2009,NH,2006,11.70103360774022
2010,NJ,2006,82.08324933878157
2011,NM,2006,18.32786484042653
2012,NY,2006,110.0847777514474
2013,NC,2006,62.31407074206696
2014,ND,2006,8.858768854487518
2015,OH,2006,86.68330378237879
2016,OK,2006,38.72656213290284
2017,OR,2006,25.67091812633639
2018,PA,2006,97.21325182669926
2019,RI,2006,6.369780187131626
2020,SC,2006,38.50348930308465
2021,SD,2006,7.467562685699185
2022,TN,2006,53.32843870845598
2023,TX,2006,309.675380518102
2024,UT,2006,21.84711354441554
2025,VT,2006,6.253542844770877
2026,VA,2006,66.86765677934972
2027,WA,2006,56.17191559083895
2028,WV,2006,16.80115054472116
2029,WI,2006,39.25968396081144
2030,WY,2006,11.95770333064969
2035,AL,2007,40.13781725014479
2036,,2007,23.15267227219112
2037,AZ,2007,39.23457902244301
2038,AR,2007,25.12391553289222
2039,CA,2007,266.9224664700166
2040,CO,2007,35.00801451366618
2041,CT,2007,26.6239130335302
2042,DE,2007,8.40790346805607
2043,DC,2007,1.538121189669271
2044,FL,2007,138.0008850508331
2045,GA,2007,72.54233979676599
2046,,2007,22.20904354133566
2047,ID,2007,10.93371751702916
2048,IL,2007,88.4315966964492
2049,IN,2007,58.02828608598121
2050,IA,2007,27.24716831068352
2051,KS,2007,26.02025249466057
2052,KY,2007,48.87382407853207
2053,LA,2007,112.9261288069453
2054,ME,2007,16.75300441716035
2055,MD,2007,36.18105384210745
2056,MA,2007,46.28340904160155
2057,MI,2007,62.75948348566295
2058,MN,2007,44.92836119227635
2059,MS,2007,30.98597004892153
2060,MO,2007,50.39920521940677
2061,MT,2007,14.77470551924878
2062,NE,2007,15.90515484582487
2063,NV,2007,20.03429715430845
2064,NH,2007,11.4700552949587
2065,NJ,2007,86.26398669279078
2066,NM,2007,18.24193152416632
2067,NY,2007,111.0309425899724
2068,NC,2007,62.63467390218285
2069,ND,2007,9.705694796876271
2070,OH,2007,88.06194177052768
2071,OK,2007,38.35450476848145
2072,OR,2007,25.66750799543163
2073,PA,2007,95.8608830094042
2074,RI,2007,6.288599563834962
2075,SC,2007,37.51745370755638
2076,SD,2007,7.861333898147936
2077,TN,2007,52.91357266999177
2078,TX,2007,303.4045144057919
2079,UT,2007,21.21443509302124
2080,VT,2007,6.042863878468073
2081,VA,2007,67.17669823966087
2082,WA,2007,58.31866722568916
2083,WV,2007,16.78168660164211
2084,WI,2007,39.24992030326316
2085,WY,2007,12.06707488672248
2090,AL,2008,37.40560586673872
2091,,2008,19.96134210882811
2092,AZ,2008,37.12895484637848
2093,AR,2008,25.08824675130257
2094,CA,2008,248.5105326926538
2095,CO,2008,33.6669355356738
2096,CT,2008,24.37978593956359
2097,DE,2008,7.76724559076551
2098,DC,2008,1.306165200289295
2099,FL,2008,121.0792448560802
2100,GA,2008,65.25741755784935
2101,,2008,17.39164173108538
2102,ID,2008,9.939109280081162
2103,IL,2008,83.7926190639573
2104,IN,2008,54.4421448830572
2105,IA,2008,26.92540371064456
2106,KS,2008,24.26302109903585
2107,KY,2008,45.93356500219623
