index,state,year,pm2.5
255,KS,2016,6.132895815348716
256,KY,2000,15.091863313638006
257,KY,2001,14.547340787544588
258,KY,2002,14.518745482343393
259,KY,2003,13.472192012083555
260,KY,2004,12.405140850291072
261,KY,2005,13.791809329301342
262,KY,2006,12.29825724486668
263,KY,2007,13.722447188004434
264,KY,2008,11.005782908407978
265,KY,2009,11.005782908407978
266,KY,2010,11.349166395306138
267,KY,2011,10.2260478491189
268,KY,2012,9.63390611680453
269,KY,2013,8.753305734591393
270,KY,2014,9.243160603808501
271,KY,2015,8.567749819558214
272,KY,2016,7.358118688894087
273,LA,2000,12.9133076977196
274,LA,2001,11.592488780129072
275,LA,2002,10.81965417178922
276,LA,2003,11.630435232046375
277,LA,2004,11.298951745398012
278,LA,2005,12.654360286064756
279,LA,2006,11.948213978613992
280,LA,2007,10.914579384059461
281,LA,2008,9.892818074023122
282,LA,2009,9.892818074023122
283,LA,2010,10.106366026099094
284,LA,2011,9.831600522270215
285,LA,2012,9.076055250928166
286,LA,2013,8.176868419732934
287,LA,2014,8.116911322839282
288,LA,2015,8.584595628857768
289,LA,2016,8.695786435379764
290,MA,2000,9.854945895486047
291,MA,2001,11.175634194891915
292,MA,2002,10.293030108348583
293,MA,2003,9.88452686058286
294,MA,2004,9.274307997504332
295,MA,2005,9.99837502717041
296,MA,2006,8.970086196784857
297,MA,2007,9.158567557433997
298,MA,2008,8.382433213582603
299,MA,2009,8.382433213582603
300,MA,2010,7.277326139452625
301,MA,2011,7.713228088577329
302,MA,2012,6.885617240331144
303,MA,2013,7.132539216792206
304,MA,2014,6.192922560394506
305,MA,2015,5.924873622198675
306,MA,2016,5.4419204443784395
307,MD,2000,14.277243459121124
308,MD,2001,14.744317046337992
309,MD,2002,13.648196353270475
310,MD,2003,13.426515007588696
311,MD,2004,13.952035178994054
312,MD,2005,13.720597446823382
313,MD,2006,12.249914516609936
314,MD,2007,12.47586297177039
315,MD,2008,11.101459827323543
316,MD,2009,11.101459827323543
317,MD,2010,10.45133487642422
318,MD,2011,10.236016910840913
319,MD,2012,9.424076652237437
320,MD,2013,8.458373476315604
321,MD,2014,8.79885800058901
322,MD,2015,8.809547301416377
323,MD,2016,7.246283776797472
324,ME,2000,6.438808835311785
325,ME,2001,7.48354553705799
326,ME,2002,7.718473416165344
327,ME,2003,7.061036834562997
328,ME,2004,6.152703149635659
329,ME,2005,6.75285607055395
330,ME,2006,6.599529135763818
331,ME,2007,6.056358900280009
332,ME,2008,5.700811853228976
333,ME,2009,5.700811853228976
334,ME,2010,4.838935207117703
335,ME,2011,5.272609374160872
336,ME,2012,4.880084337192165
337,ME,2013,5.162362993073422
338,ME,2014,4.90551405137977
339,ME,2015,5.056299099419274
340,ME,2016,4.541436350005921
341,MI,2000,11.680363937442467
342,MI,2001,12.517253710399158
343,MI,2002,11.936800335183168
344,MI,2003,12.256859303847905
345,MI,2004,10.954472709498749
346,MI,2005,12.285978653987955
347,MI,2006,10.696901562020209
348,MI,2007,10.478410967274474
349,MI,2008,9.53564628315086
350,MI,2009,9.53564628315086
351,MI,2010,8.660729214038206
352,MI,2011,8.491592839351801
353,MI,2012,8.242526692916748
354,MI,2013,8.007637804058342
355,MI,2014,8.791379566151878
356,MI,2015,8.353435479563517
357,MI,2016,7.175332767549651
358,MN,2000,9.412772312294226
359,MN,2001,9.242405416148873
360,MN,2002,8.888204831635727
361,MN,2003,9.587980554018683
362,MN,2004,8.511730617217651
363,MN,2005,9.572221905026904
364,MN,2006,8.637265310169225
365,MN,2007,9.273731190884655
366,MN,2008,8.939280646447994
367,MN,2009,8.939280646447994
368,MN,2010,8.300964963952826
369,MN,2011,7.7475093062420175
370,MN,2012,6.716745445781675
371,MN,2013,6.241231011725718
372,MN,2014,6.444450365330487
373,MN,2015,6.139249727110875
374,MN,2016,5.601505181635709
375,MO,2000,12.88015795519455
376,MO,2001,11.925401018288541
377,MO,2002,12.365011109063117
378,MO,2003,12.20536140149254
379,MO,2004,11.092353997320783
380,MO,2005,13.05961161614648
381,MO,2006,10.906302970535906
382,MO,2007,12.163535277683783
383,MO,2008,10.43092063377159
384,MO,2009,10.43092063377159
385,MO,2010,10.050700201601535
386,MO,2011,9.908938419867473
387,MO,2012,8.785320436628178
388,MO,2013,8.837710170549023
389,MO,2014,8.911062997069347
390,MO,2015,7.992147422627475
391,MO,2016,7.128667751912029
392,MS,2000,14.228139898144876
393,MS,2001,12.025373105866514
394,MS,2002,11.699410389556292
395,MS,2003,12.26300522138843
396,MS,2004,12.00121352867773
397,MS,2005,13.278938495286697
398,MS,2006,12.09306791857597
399,MS,2007,12.036096815203805
400,MS,2008,10.783691416101584
401,MS,2009,10.783691416101584
402,MS,2010,10.988369383861144
403,MS,2011,10.967120869309982
404,MS,2012,9.849981514064424
405,MS,2013,8.27342764476129
406,MS,2014,8.732167821304392
407,MS,2015,8.701352738976201
408,MS,2016,8.47481220189504
409,MT,2000,5.703404215362491
410,MT,2001,4.7748383469822056
411,MT,2002,4.490477960698497
412,MT,2003,5.791267325021644
413,MT,2004,4.721417050506415
414,MT,2005,4.431044109841083
415,MT,2006,5.282488691091943
416,MT,2007,5.106085075260825
417,MT,2008,4.1639437147986715
418,MT,2009,4.1639437147986715
419,MT,2010,4.333355073408585
420,MT,2011,4.711073721545481
421,MT,2012,5.97252948534802
422,MT,2013,4.243046067038212
423,MT,2014,4.380635554484703
424,MT,2015,6.4669558515236565
425,MT,2016,3.9002315105030987
426,NC,2000,14.64418807931147
427,NC,2001,13.154395154280849
428,NC,2002,12.80668090690213
429,NC,2003,12.294767494998915
430,NC,2004,12.971169509415223
431,NC,2005,12.805877347371686
432,NC,2006,12.160801848475645
