index,state,year,coal
2145,AL,2009,60.13511749474701
2147,AZ,2009,39.452303
2148,AR,2009,25.2097417
2149,CA,2009,4.982768559999999
2150,CO,2009,33.42974902666666
2151,CT,2009,2.5077822
2152,DE,2009,3.24002734
2153,DC,2009,0.03122764333333333
2154,FL,2009,55.50736949999999
2155,GA,2009,69.05716084666666
2157,ID,2009,0.8004785066666665
2158,IL,2009,96.81941153024371
2159,IN,2009,129.8996425126294
2160,IA,2009,42.40626375333333
2161,KS,2009,33.99678667009151
2162,KY,2009,89.39786590662004
2163,LA,2009,24.11028906
2164,ME,2009,0.15730242
2165,MD,2009,25.46427348666666
2166,MA,2009,8.788638319999999
2167,MI,2009,70.15587445673229
2168,MN,2009,31.36627541712425
2169,MS,2009,13.5254262
2170,MO,2009,73.08552148333334
2171,MT,2009,16.49932427
2172,NE,2009,23.8262486
2173,NV,2009,8.00013038
2174,NH,2009,3.13594512
2175,NJ,2009,5.68707524
2176,NM,2009,29.23138284
2177,NY,2009,14.86328455477796
2178,NC,2009,64.77839144333332
2179,ND,2009,40.34962998183033
2180,OH,2009,120.780371669179
2181,OK,2009,35.63195130018303
2182,OR,2009,3.16388622
2183,PA,2009,116.4866217716966
2184,RI,2009,0.0
2185,SC,2009,35.50134287333334
2186,SD,2009,3.577017509999999
2187,TN,2009,45.56576277137275
2188,TX,2009,143.00341209
2189,UT,2009,34.83899914
2190,VT,2009,0.0
2191,VA,2009,31.84157125731804
2192,WA,2009,8.02267994
2193,WV,2009,70.8254446277483
2194,WI,2009,40.64291876397395
2195,WY,2009,45.22840387999999
2200,AL,2010,68.48065637015222
2202,AZ,2010,43.73043682333333
2203,AR,2010,28.04712815666667
2204,CA,2010,5.227615653333332
2205,CO,2010,36.53500268
2206,CT,2010,2.742379016666666
2207,DE,2010,2.889665716666667
2208,DC,2010,0.006703583333333333
2209,FL,2010,60.86872139333333
2210,GA,2010,73.32478353614012
2212,ID,2010,0.8084498766666667
2213,IL,2010,101.9502390812667
2214,IN,2010,137.7456506496974
2215,IA,2010,47.11283371666667
2216,KS,2010,34.37536490666667
2217,KY,2010,96.35097057819075
2218,LA,2010,24.81018323666667
2219,ME,2010,0.2171774733333333
2220,MD,2010,25.39753274666667
2221,MA,2010,8.007851243333333
2222,MI,2010,71.38254925019515
2223,MN,2010,30.11138430666666
2224,MS,2010,14.17870608
2225,MO,2010,76.55248325999999
2226,MT,2010,19.42128749
2227,NE,2010,24.30508230333334
2228,NV,2010,7.660190706666667
2229,NH,2010,3.231042283333333
2230,NJ,2010,6.87347485
2231,NM,2010,25.54746414
2232,NY,2010,15.92566580453765
2233,NC,2010,71.52903461
2234,ND,2010,39.06318515
2235,OH,2010,129.0829757489103
2236,OK,2010,33.04461310333333
2237,OR,2010,4.063511466666666
2238,PA,2010,124.5928520610866
2239,RI,2010,0.0
2240,SC,2010,38.6644159
2241,SD,2010,3.728910313333333
2242,TN,2010,49.18455593333333
2243,TX,2010,149.7659151266667
2244,UT,2010,34.00655320333333
2245,VT,2010,0.0
2246,VA,2010,32.90359975809071
2247,WA,2010,9.06587803
2248,WV,2010,80.82724979949721
2249,WI,2010,43.76109584
2250,WY,2010,46.23069707666667
2255,AL,2011,62.02809485504545
2257,AZ,2011,43.92272822666667
2258,AR,2011,29.23599077666667
2259,CA,2011,5.256459853333333
2260,CO,2011,35.22837395
2261,CT,2011,0.58083685
2262,DE,2011,1.707933516666667
2263,DC,2011,0.004542559999999999
2264,FL,2011,52.78715497
2265,GA,2011,60.61135538333333
2267,ID,2011,0.7444922833333333
2268,IL,2011,100.2934707497637
2269,IN,2011,126.6818883568838
2270,IA,2011,44.18845720666667
2271,KS,2011,33.09697002333333
2272,KY,2011,96.4550063547689
2273,LA,2011,25.78802167333333
2274,ME,2011,0.14692953
2275,MD,2011,23.02362359
2276,MA,2011,4.102758916666667
2277,MI,2011,65.83032330906369
2278,MN,2011,30.12945554666667
2279,MS,2011,10.27080105333333
2280,MO,2011,78.85312966666666
2281,MT,2011,15.82500054666667
2282,NE,2011,27.24705701666667
2283,NV,2011,5.987527699999999
2284,NH,2011,2.33910765
2285,NJ,2011,4.736862533333333
2286,NM,2011,27.19677319333334
2287,NY,2011,11.92206016123092
2288,NC,2011,59.66103102666667
2289,ND,2011,37.64805737
2290,OH,2011,116.4333192564309
2291,OK,2011,36.1286024
2292,OR,2011,3.354831773333333
2293,PA,2011,115.2735299379357
2294,RI,2011,0.0
2295,SC,2011,34.95991260666667
2296,SD,2011,3.065196493333334
2297,TN,2011,45.91237830666666
2298,TX,2011,161.9110951333333
2299,UT,2011,33.05746627333333
2300,VT,2011,0.0
2301,VA,2011,27.37856638677608
2302,WA,2011,5.438627736666667
2303,WV,2011,78.39210052546187
2304,WI,2011,42.70763475
2305,WY,2011,44.64960103999999
2310,AL,2012,52.08872060444258
2312,AZ,2012,40.18303344
2313,AR,2012,28.35146394666667
2314,CA,2012,4.174794946666666
2315,CO,2012,35.35994432666667
2316,CT,2012,0.8876904666666665
2317,DE,2012,1.661099146666666
2318,DC,2012,0.007306786666666667
2319,FL,2012,46.14511146666666
2320,GA,2012,41.60819806000001
2322,ID,2012,0.4932313466666667
2323,IL,2012,92.3949206120173
2324,IN,2012,113.3237038424477
2325,IA,2012,40.34914157999999
2326,KS,2012,29.38989247333333
2327,KY,2012,86.91189378666667
2328,LA,2012,22.81818212666667
2329,ME,2012,0.12390862
2330,MD,2012,18.36873764
2331,MA,2012,2.29598776
2332,MI,2012,59.23859238433177
2333,MN,2012,24.63136793333333
2334,MS,2012,7.877798133333333
2335,MO,2012,73.40185658666665
2336,MT,2012,15.0293836
2337,NE,2012,26.03827299333333
2338,NV,2012,5.046947986666667
2339,NH,2012,1.355997353333333
2340,NJ,2012,2.445114246666666
2341,NM,2012,25.17202798
2342,NY,2012,6.938028418504694
2343,NC,2012,51.08375147333333
2344,ND,2012,38.78538803333333
2345,OH,2012,96.94008141572291
2346,OK,2012,31.24936840666667
2347,OR,2012,2.699474286666667
2348,PA,2012,103.8205711124361
2349,RI,2012,0.0
2350,SC,2012,28.52387846
2351,SD,2012,3.397618986666667
2352,TN,2012,40.39800211333333
2353,TX,2012,143.20813892
2354,UT,2012,30.76757068
2355,VT,2012,0.0
2356,VA,2012,21.09403526828262
2357,WA,2012,4.075000306666666
2358,WV,2012,72.18781955522135
2359,WI,2012,35.65396252000001
2360,WY,2012,46.81939371999999
2365,AL,2013,53.79635723739685
2367,AZ,2013,43.44528866333333
2368,AR,2013,31.24117755
2369,CA,2013,3.630099146666667
2370,CO,2013,34.71999908666667
2371,CT,2013,0.7334724833333333
2372,DE,2013,1.743561233333333
2373,DC,2013,0.0003798666666666666
2374,FL,2013,48.24402799333333
2375,GA,2013,40.69938678666666
2377,ID,2013,0.75727641
2378,IL,2013,97.87116108701065
2379,IN,2013,113.823903721076
2380,IA,2013,38.40515668
2381,KS,2013,31.21548085333333
2382,KY,2013,87.36370375333334
2383,LA,2013,21.78213605333333
2384,ME,2013,0.1579675166666666
2385,MD,2013,17.49090306333333
2386,MA,2013,4.030857306666666
2387,MI,2013,62.69553401581588
2388,MN,2013,25.55868663333333
2389,MS,2013,9.33714551
2390,MO,2013,77.02700430333333
2391,MT,2013,15.86371226
2392,NE,2013,27.97324992
2393,NV,2013,6.189773113333333
2394,NH,2013,1.602578633333333
2395,NJ,2013,2.474836833333334
2396,NM,2013,24.48773085
2397,NY,2013,6.536534985683188
2398,NC,2013,47.15361526333334
2399,ND,2013,37.51688042666667
2400,OH,2013,105.0476552279881
2401,OK,2013,32.08116904666667
2402,OR,2013,3.714630736666666
2403,PA,2013,106.8068571179014
2404,RI,2013,0.0
2405,SC,2013,24.57232103333333
2406,SD,2013,3.269563366666666
2407,TN,2013,38.15520456
2408,TX,2013,152.5645738466667
2409,UT,2013,33.92390958
2410,VT,2013,0.0
2411,VA,2013,27.60739949377955
2412,WA,2013,7.158566909999999
2413,WV,2013,73.56213388102074
2414,WI,2013,43.40307715333334
2415,WY,2013,49.72134742666666
2420,AL,2014,54.81484729290558
2422,AZ,2014,42.75891015
2423,AR,2014,32.38635059
2424,CA,2014,3.75935868
2425,CO,2014,33.46536189333333
2426,CT,2014,0.86858156
2427,DE,2014,0.9775242399999998
2428,DC,2014,0.00455488
2429,FL,2014,53.26129005999999
2430,GA,2014,46.07705212
2432,ID,2014,0.71094925
2433,IL,2014,97.00668979694433
2434,IN,2014,116.1172363951853
2435,IA,2014,38.27982381666666
2436,KS,2014,30.22532172
2437,KY,2014,87.20732984333331
2438,LA,2014,20.04735028999999
2439,ME,2014,0.20434469
2440,MD,2014,19.20711705
2441,MA,2014,2.85157356
2442,MI,2014,58.91405525769048
2443,MN,2014,29.88453797999999
2444,MS,2014,11.12612248
2445,MO,2014,74.53254222333332
2446,MT,2014,16.74147038666667
2447,NE,2014,26.39717069
2448,NV,2014,7.562464799999999
2449,NH,2014,1.41950116
2450,NJ,2014,2.93419588
2451,NM,2014,20.56094854
2452,NY,2014,6.155612077784351
2453,NC,2014,47.88448268999999
2454,ND,2014,38.08358902333333
2455,OH,2014,100.5727148906137
2456,OK,2014,32.08462125
2457,OR,2014,3.2683035
2458,PA,2014,98.54181705442977
2459,RI,2014,0.0
2460,SC,2014,29.17938660999999
2461,SD,2014,3.15568902
2462,TN,2014,40.79780180666666
2463,TX,2014,151.41835588
2464,UT,2014,32.84568628
2465,VT,2014,0.0
2466,VA,2014,26.44170344358091
2467,WA,2014,7.307814249999999
2468,WV,2014,77.87023501832147
2469,WI,2014,39.81315528666666
2470,WY,2014,46.70767453
2475,AL,2015,47.11431208399173
2477,AZ,2015,36.87933025333334
2478,AR,2015,21.68721595333333
2479,CA,2015,2.952187333333333
2480,CO,2015,32.50873457333334
2481,CT,2015,0.62477624
2482,DE,2015,0.68337291
2483,DC,2015,0.004191439999999999
2484,FL,2015,44.59175680666667
2485,GA,2015,37.72289829
2487,ID,2015,0.4050713333333333
2488,IL,2015,81.16646490205888
2489,IN,2015,95.81331204951118
2490,IA,2015,33.27844710666667
2491,KS,2015,26.13522134666667
2492,KY,2015,76.12901079666666
2493,LA,2015,16.65282982
2494,ME,2015,0.2471964733333333
2495,MD,2015,15.86360013333333
2496,MA,2015,2.31076758
2497,MI,2015,58.85721157736728
2498,MN,2015,25.95493519666667
2499,MS,2015,6.84607176
2500,MO,2015,66.56303613666667
2501,MT,2015,17.05387493333333
2502,NE,2015,25.45199829333333
2503,NV,2015,3.500284773333333
2504,NH,2015,1.05043851
2505,NJ,2015,2.19140075
2506,NM,2015,20.61871133666667
2507,NY,2015,3.922276460976818
2508,NC,2015,38.75917617
2509,ND,2015,38.98445690333334
2510,OH,2015,82.36582792346687
2511,OK,2015,26.83374272333333
2512,OR,2015,2.53396209
2513,PA,2015,83.36071697628893
2514,RI,2015,0.0
2515,SC,2015,23.05512289666667
2516,SD,2015,1.87423412
2517,TN,2015,35.41603211666667
2518,TX,2015,128.1257377766667
2519,UT,2015,31.54493034
2520,VT,2015,0.0
2521,VA,2015,22.10318764258516
2522,WA,2015,5.569727680000001
2523,WV,2015,69.79460543617408
2524,WI,2015,39.01166499999999
2525,WY,2015,46.56166089666667
2530,AL,2016,39.05721962037667
2532,AZ,2016,30.94717501333333
2533,AR,2016,23.54734583666666
2534,CA,2016,3.061535803333333
2535,CO,2016,30.71727945
2536,CT,2016,0.2235948
2537,DE,2016,0.7828479754367339
2538,DC,2016,0.00324258
2539,FL,2016,40.72224335666667
2540,GA,2016,38.15121739
2542,ID,2016,0.2321181866666666
2543,IL,2016,67.0142309957061
2544,IN,2016,90.20997969570367
2545,IA,2016,28.46992562333333
2546,KS,2016,24.18630437666667
2547,KY,2016,70.38073954999999
2548,LA,2016,13.42603639666667
2549,ME,2016,0.2095977033333333
2550,MD,2016,15.56726882333333
